Address,Price,livingArea,bedrooms,bathroom
['932 Hickory Bend Rd'],['995'],"['1227', '1227', '\\""1', '805', '818', '649', '649', '1224', '648', '2378', '1188']","['2', '2', '2', '3', '3', '3', '3', '3', '3', '6', '3']","['2', '2', '2', '2', '2', '2.5', '2.5', '2', '2.5', '4', '2']"
['6924 Maddox Rd'],['1150'],"['1092', '1092', '\\""1', '1393', '1134', '1586', '1324', '1328', '1981', '1905', '1389', '1302']","['3', '3', '3', '3', '3', '4', '3', '3', '4', '4', '2', '3']","['2', '2', '2', '2', '2.5', '2', '3', '2', '2', '3', '2', '2']"
['6743 River Road Ct'],['1300'],"['1485', '1485', '\\""1', '1300', '1152', '1254', '1244', '1196', '1222', '1275', '1275']","['3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3']","['2', '2', '2', '2', '1.5', '1.5', '2', '2', '2', '1.5', '1.5']"
['8874 Wesley Pl'],['1345'],"['1616', '1616', '\\""1', '1530', '1361', '1540', '1382', '1028', '1411', '1515', '1492', '1768', 'null', '1616', '1472', '1776']","['3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '4', '3', '3']","['2', '2', '2', '2.5', '2', '2.5', '1.5', '1.5', '2', '2', '2', '2', '2', '2', '2', '2']"
['8439 Cedar Creek Rdg'],['1395'],"['1760', '1760', '\\""1', '1540', '1530', '1676', '1413', '1118', '1515', '1476', '1412', '1780', '1290', '1364', '1832', '1676', '1728']","['3', '3', '3', '3', '3', '4', '3', '3', '3', '3', '3', '3', '3', '3', '3', '4', '3']","['2', '2', '2', '2.5', '2.5', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '3']"
['1158 Commons Ct'],['1395'],"['1226', '1226', '\\""1', '1526', '1344', '1308', '2367', '1334', '1630', '1612', '1344', '849', '1394', '1421', '1405']","['5', '5', '5', '3', '3', '3', '3', '3', '3', '3', '3', '4', '3', '3', '3']","['3', '3', '3', '2', '2.5', '2', '2', '2', 'null', '2', '2', '2.5', '2', '2', '2']"
['528 Blue Cedar Ct'],['1535'],"['1676', '1676', '\\""1', '1530', '1540', '1760', '1413', '1118', '1850', '1575', '2212', '1058', '1135', '1400', '1714', '1728']","['4', '4', '4', '3', '3', '3', '3', '3', '3', '3', '4', '4', '5', '4', '4', '3']","['2', '2', '2', '2.5', '2.5', '2', '2', '2', '2', '2', '2.5', '2.5', '3', '2', '2', '3']"
['5002 Park Ave'],['675'],"['1931', '1931', '\\""1', '1931', '1931', 'null', '833', '1156', '1044', '1176', '784']","['1', '1', '1', '1', '1', '1', '2', '4', '3', '3', '2']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
['4616 Richard Rd'],['1195'],"['1026', '1026', '\\""1', '1025', '1025', '988', '1056', '984', '962', '1312', '1050']","['3', '3', '3', '3', '4', '3', '3', '3', '3', '3', '3']","['1', '1', '1', '1', '2', '1', '1.5', '1', '1', '2', '1']"
['662 Wynfield Way'],['1455'],"['1790', '1790', '\\""1', '1205', '1996', '1248', '1556', '1080', '2000', '1489', '1200', '1000', '1384', '1200']","['3', '3', '3', '3', '3', '3', '3', '3', '4', '3', '3', '3', '3', '4']","['2.5', '2.5', '3', '2', '2', '1', '3', '2', '3', '2', '2', '2', '2', '2']"
['6386 Woodlawn Ave'],['1135'],"['1525', '1525', '\\""1', '1440', '820', '1141', '1279', '1468', '1573', '1239', '1273', 'null']","['3', '3', '3', '3', '3', '4', '3', '3', '3', '3', '3', '0']","['2', '2', '2', '2.5', '2.5', '2.5', '2', '2', '2', '1.5', '1.5', 'null']"
['3225 Blackfoot Ln'],['1249'],"['1176', '1176', '\\""1', '1230', '1204', '1836', 'null', '1176', '720', '720', '1040', '748']","['3', '3', '3', '4', '3', '4', '0', '3', '3', '3', '5', '3']","['2', '2', '2', '2', '2', '3', 'null', '2', '2.5', '2.5', '3', '2.5']"
['10747 Thrasher Rd'],['1000'],"['1392', '1392', '\\""1', '1374', '1679', '1392', '1392', '1109', '1388', '827', '1470', '1470', '1491']","['3', '3', '3', '3', '3', '3', '4', '3', '3', '3', '3', '3', '3']","['2', '2', '2', '2', '2', '2', '2', '1.5', '2', '1.5', '2', '2', '2']"
['422 River Chase Dr'],['1295'],"['1510', '1510', '\\""1', '1300', '1458', '1560', '1416', '1382', '1250', '1800', '1949', '1440', 'null', '1718', '1350', '1200']","['3', '3', '3', '3', '3', '4', '4', '3', '3', '4', '3', '3', '0', '3', '3', '3']","['2.5', '2.5', '3', '2.5', '1.5', '3', '2', '1.5', '2', '3', '2', '2', 'null', '2', '2', '2']"
['4503 Richard Rd'],['1195'],"['1008', '1008', '\\""1', 'null', 'null', 'null', '1008', '988', '1008', '1100', '1025']","['3', '3', '3', '0', '0', '0', '3', '3', '3', '3', '3']","['1', '1', '1', 'null', 'null', 'null', '1', '2', '1', '1', '1']"
['5234 Carrie Dr'],['1250'],"['1588', '1588', '\\""1', '1588', '884', '1588', 'null', 'null', 'null', 'null', 'null']","['3', '3', '3', '2', '4', '2', '0', '0', '0', '0', '0']","['2.5', '2.5', '3', '2.5', '2.5', '2.5', 'null', 'null', 'null', 'null', 'null']"
['2500 Dorita Ct'],['1115'],"['1058', '1058', '\\""1', '1176', '1804', '1549', '1025', '1025', '1025', '1171', '1171', '1175', '1171']","['3', '3', '3', '4', '3', '3', '4', '3', '3', '3', '4', '3', '3']","['2.5', '2.5', '3', '2', '2.5', '1.5', '2', '2', '2', '1', '2', '3', '1']"
['8522 Shoreview Ct'],['1895'],"['3100', '3100', '\\""3', '3507', '2779', 'null', 'null', '2408', '1509', '1902', '1982']","['4', '4', '4', '4', '4', '0', 'null', '4', '3', '5', 'null']","['2.5', '2.5', '3', '3', '2', 'null', 'null', '4', '2.5', '4.5', '3.5']"
['6363 Ellenwood Dr'],['1150'],"['1440', '1440', '\\""1', '1248', '1440', '589', '1600', '1440', '1440', '1440', '632']","['3', '3', '3', '3', '3', '3', '4', '3', '3', '3', '3']","['2.5', '2.5', '3', '2.5', '2.5', '2.5', '2.5', '2.5', '3', '2.5', '2.5']"
['9285 River Chase Way'],['1261'],"['1458', '1458', '\\""1', '1300', '1510', '1382', '1416', '792', '1308', '1760', '1676', '1120', '1034', '1120', '1456']","['3', '3', '3', '3', '3', '3', '4', '4', '2', '3', '3', '3', '3', '3', '3']","['1.5', '1.5', '2', '2.5', '2.5', '1.5', '2', '3', '2', '2', '2', '2', '2.5', '2', '2']"
['7108 Stanley Ln'],['1395'],"['1522', '1522', '\\""1', '1628', '1606', '1356', '1356', '2110', '1788', '1305', '1292', '1760', '1390', '1741', 'null', '1707', '1216']","['3', '3', '3', '4', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', 'null', '3', '3']","['2', '2', '2', 'null', '2.5', '2', '2', '2.5', '2', '2', '2', '2', '2', '2', 'null', '2', '2.5']"
['11219 Panhandle Rd'],['1100'],"['1392', '1392', '\\""1', '1978', 'null', '1296', '2516', '1657', '1390', '1851', '1339']","['3', '3', '3', '4', '0', '3', '4', '4', '3', '4', '3']","['1.5', '1.5', '2', '3', 'null', '3', '3', '2', '2', '3', '2']"
