Address,Price,livingArea,bedrooms,bathroom
['1911 Delowe Dr SW'],['1195'],"['1488', '1488', '\\""1', '1134', '1083', '1383', '1644', '1381', '1446', '1224', '873', '1250']","['3', '3', '3', '3', '3', '3', '3', '2', '3', '2', '2', '2']","['2', '2', '2', '1', '2', '2', '2.5', '2', '3', '1', '2', '1']"
['441 Montgomery Ferry Dr NE'],['1950'],"['890', '890', '\\""890 sqft\\""', 'null', '936', '936', '936', '936', '936', '917', '936', '1567', '3213', '2062', '2726', '1200', '2326', '1200', '900']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '3', '7', '3', '3', '2', '4', '2', '1']","['1', '1', '1', '1', '2', '2', '2', '2', '2', '1', '2', '2', '2', '3', '2.5', '1', '2', '1', '1']"
['445 N Highland Ave NE'],['1050'],"['500', '500', '\\""500 sqft\\""', '900', '750', '894', '448', '400', '800', '551', '565', '550', '550', '900', '850', 'null', '900', '900', '700']","['0', '0', '0', '1', '2', '2', '1', '2', '2', '0', '0', '0', '0', '1', '1', '2', '1', '2', '1']","['1', '1', '1', '1', '1.5', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', 'null', '1', '1', '1']"
['3216 Mayo Pl SW'],['1575'],"['1144', '1144', '\\""1', '1382', '716', '1730', '1080', 'null', '1888', '1568', '1073', '1456']","['3', '3', '3', '3', '0', '3', '4', 'null', '4', '4', '3', '3']","['1', '1', '1', '2', 'null', '1', '2', 'null', '2.5', '2', '2', '2']"
['436 N Highland Ave NE'],['1395'],"['894', '894', '\\""894 sqft\\""', '900', '750', '800', '850', '840', '500', '855', '810', '850', '800', '900', '850', '850', '850', 'null', '738']","['2', '2', '2', '1', '2', '2', '2', '1', '0', '1', '1', '1', '2', '2', '2', '2', '2', '2', '2']","['1', '1', '1', '1', '1.5', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
['50 Terrace Dr NE'],['1100'],"['850', '850', '\\""850 sqft\\""', '837', '837', '652', '652', '814', '652', '652', '814', '900', '700', '800', '800', '1814', '3078', '650', '837']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '3', '4', '1', '1']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '2', '2.5', '1', '1']"
['1040 Greenwood Ave NE'],['1075'],"['800', '800', '\\""800 sqft\\""', '800', '760', '800', '680', 'null', '700', '875', '725', '700', '750', '700', '2250', '1790', '2250', 'null', '1790']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '2', '1', '1', '1', '1', '3', '3', '3', 'null', '3']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '4', '4', '4', 'null', '3.5']"
['893 Greenwood Ave NE'],['995'],"['700', '700', '\\""700 sqft\\""', '600', '700', '780', '700', '680', '725', '760', '735', '700', '700', '700', '700', '700', '700', '2800', '2800']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '3', '3']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '4', '4']"
['869 Charles Allen Dr NE'],['1420'],"['900', '900', '\\""900 sqft\\""', '760', '1150', '1000', '750', '500', '750', '750', '842', '550', '900', '900', '750', '700', '600', '750', '750']","['1', '1', '1', '1', '2', '2', '1', '1', '1', '1', '1', '0', '1', '1', '1', '1', '0', '1', '1']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
['8365 Mayfern Dr'],['1695'],"['2085', '2085', '\\""2', '1578', '1458', '1596', '1832', '1508', '1714', '1345', '1512', '2016', '1832']","['4', '4', '4', '3', '3', '4', '3', '3', '3', '4', '3', '3', '3']","['2.5', '2.5', '3', '2.5', '2', '2.5', '2.5', '2.5', '2', '2.5', '2', '2.5', '2.5']"
['7055 Birling Dr'],['1325'],"['1466', '1466', '\\""1', '1392', '1454', '1405', '1488', '948', '1406', '1170', '1025', '1564', '943']","['3', '3', '3', '4', '4', '3', '4', '3', '3', '5', '4', '3', '3']","['2', '2', '2', '2', '3', '2', '3', '2', '2', '3', '2', '2', '2']"
['55 Bradley St SE'],['1225'],"['700', '700', '\\""700 sqft\\""', '738', '950', '550', '828', '824', '1200', '709', '780', '700', '700', '700', '850', '700', '700', '600', '700']","['1', '1', '1', '1', '2', '1', '1', '1', '1', '1', '1', '1', '1', '1', '2', '1', '1', '1', '1']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
['556 Moreland Ave NE'],['3980'],"['2960', '2960', '\\""2', '2750', '3990', '1700', '2130', '1770', '2000', '2500', '3100', '2452', '2162', '2162', '2162', '2032', '2384', '2384']","['4', '4', '4', '4', '5', '2', '4', '3', '2', '3', '4', '4', '3', '3', '4', '3', '3', '4']","['3.5', '3.5', '4', '3', '4', '2', '2', '2', '2', '2', '3.5', '3.5', '3', '2.5', '3.5', '3.5', '3.5', '4']"
['11420 Easthaven Pl'],['4000'],"['null', 'null', 'null', '3590', '3454', '3990', '3382', '3746', '3472', '3720', '3540']","['4', '4', '4', '4', '4', '5', '4', '5', '4', '4', '5', '5']","['3', '3', '3', '4.5', '3', '4', '4', '4', '3.5', '3.5', '4', '4']"
['4033 Majestic Dr SW'],['1258'],"['1248', '1248', '\\""1', '1000', '1056', '1356', '1298', '1326', '1174', '1184', '1248', '925', '1200', '1036']","['3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '2']","['2', '2', '2', '1', '1', '2', '2', '2', '2', '2.5', '2', '2', '2.5', '2']"
['1000 Melody Ln'],['2000'],"['1998', '1998', '\\""1', '1586', '2000', '1628', '1996', '1600', '1468', '1552', '1628', '1623', '3200', '1620', '1660', '1642']","['4', '4', '4', '3', '4', '3', '4', '3', '3', '3', '3', '3', '4', '3', '3', '3']","['2.5', '2.5', '3', '2', '2', '2', '3', '2.5', '2', '2', '2', '2', '3', '2', '2', '2']"
['7220 Mahogany Dr'],['1545'],"['2131', '2131', '\\""2', '1696', '1732', '1943', '2237', '1440', '1982', '1691', '2431', '1000', '1230', '2020']","['3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '4', '3', '3', '3']","['2.5', '2.5', '3', '2.5', '2', '2.5', '3', '2', '2.5', '2.5', '2.5', '2', '2', '2.5']"
